id	filename	md5	size	state
ef8e0547-f709-4968-9bb3-89b93014bc40	b49a5b0c-c29b-46bf-900e-4cfa46391343.rna_seq.augmented_star_gene_counts.tsv	a693315f819019bff6e71dd82e1d137f	4245791	released
c4560e99-9084-458f-8741-3ec3f20f3989	cf64da64-511a-46c9-bf90-772648dc46b3.rna_seq.augmented_star_gene_counts.tsv	91fdac998369599b378b3ccdc10d80df	4250090	released
e4e89cbb-0528-42dd-bcfc-bb03897535c0	905ff6d5-bdbd-40a7-8c6f-85f9cd3add5f.rna_seq.augmented_star_gene_counts.tsv	1a29acc0260b59ece3db031cf90bc655	4223170	released
1052d811-3da4-451b-b02a-d858fc4724ef	0f452e17-8b8a-4f85-958b-b07e3c908aa1.rna_seq.augmented_star_gene_counts.tsv	9bc543864d8ddbc20fef4b47b424c73c	4224662	released
5ea4d90b-cdc6-4996-9f7a-2ab701846de4	572fe505-c7fd-47fb-ac0c-2e2195ad8336.rna_seq.augmented_star_gene_counts.tsv	fde726c3273e7e53ff1cb0fe4598d4d0	4233009	released
f6f837b2-c100-46b7-8422-c5948f464f74	b3a0d253-c047-4bdb-b84f-f228ee59a1cb.rna_seq.augmented_star_gene_counts.tsv	aa1247fdbcc300be1b6a8fdabeb27b44	4245547	released
0149679a-8220-47ba-9060-eda9329bee70	2e7d0821-ecd1-4e3f-ace3-b160b2e6f690.rna_seq.augmented_star_gene_counts.tsv	fe9b2e20d206a78e0a48760a10f3011e	4247080	released
221a9c55-9ec6-4ff9-83bd-8976c0e38bd8	efb9fb60-4460-4ff0-ad32-affc7d42fca9.rna_seq.augmented_star_gene_counts.tsv	632c4beb5d220123300eaf802217dd6a	4236186	released
2a79789d-e28b-43ad-9741-2a3740b577d9	30ff7e18-9244-415a-89f3-1cd6f0bd9bce.rna_seq.augmented_star_gene_counts.tsv	1f36400ef27977657c60588b240b0358	4242135	released
32e72ee0-c2fa-4623-bd31-23adb327788d	01ea7cb3-5ed8-450a-ab84-6377f654fdb9.rna_seq.augmented_star_gene_counts.tsv	962f5610379a08b884017ff9b53fd68b	4236519	released
e3ba06be-17f2-45d3-8007-72cf887e1c41	b0b0044a-d7b9-46c0-9877-37141083cf34.rna_seq.augmented_star_gene_counts.tsv	ba0aff726afea2754466486e061aa568	4235886	released
12584c00-b3ba-41f8-b5d5-bcfd68900e0b	db97187e-91f3-4e9b-b596-2b91143dd7e9.rna_seq.augmented_star_gene_counts.tsv	4952a2d46d6ce91da65d8f1ff9a7e172	4246516	released
0695a872-e08d-42bb-8187-2fa7c3076a40	86994e55-f28b-4ce8-b55f-0878bcce4832.rna_seq.augmented_star_gene_counts.tsv	bd540e916957562d8491aaaeb498769e	4218415	released
41c9d266-1aa5-4616-b977-835528eda1ca	9194083f-2f80-4b09-b785-7515963b9be6.rna_seq.augmented_star_gene_counts.tsv	5e849518dcf071be019e594364ef9cfe	4224264	released
a633b21d-43a5-4c59-a7f1-d40e6a0c5b3d	f085f2ef-b1a2-44e6-92eb-dc0c97ce3e7c.rna_seq.augmented_star_gene_counts.tsv	e3333a5356e69843c6953a836515d80a	4235898	released
